commodity,unit,date,price
Rice,1 Kg,2025-08-13,42.87
Wheat,1 Kg,2025-08-13,31.51
Atta (Wheat),1 Kg,2025-08-13,36.76
Gram Dal(Bharat Dal Adjusted),1 Kg,2025-08-13,83.06
Gram Dal,1 Kg,2025-08-13,87.13
Tur/Arhar Dal,1 Kg,2025-08-13,118.11
Urad Dal,1 Kg,2025-08-13,114.4
Moong Dal,1 Kg,2025-08-13,110.43
Masoor Dal,1 Kg,2025-08-13,89.26
Sugar,1 Kg,2025-08-13,46.2
Milk (₹/ltr),1 Ltr,2025-08-13,59.09
Groundnut Oil (Packed),1 Kg,2025-08-13,188.37
Mustard Oil (Packed),1 Kg,2025-08-13,186.69
Vanaspati (Packed),1 Kg,2025-08-13,156.49
Soya Oil (Packed),1 Kg,2025-08-13,147.03
Sunflower Oil (Packed),1 Kg,2025-08-13,160.92
Palm Oil (Packed),1 Kg,2025-08-13,130.46
Gur,1 Kg,2025-08-13,56.31
Tea Loose,1 Kg,2025-08-13,271.25
Salt Pack (Iodised),1 Kg,2025-08-13,21.42
Potato,1 Kg,2025-08-13,25.69
Onion,1 Kg,2025-08-13,28.11
Tomato,1 Kg,2025-08-13,53.26
Bajra (whole),1 Kg,2025-08-13,37.79
Jowar (whole),1 Kg,2025-08-13,43.24
Maida (wheat),1 Kg,2025-08-13,41.52
Ragi (whole),1 kg,2025-08-13,53.52
Suji (whole),1 Kg,2025-08-13,46.57
Besan,1 Kg,2025-08-13,96.98
Desi Ghee,1 Kg,2025-08-13,663.71
Butter (Pasteurised),100 gm,2025-08-13,59.17
Eggs ,1 Dozen,2025-08-13,76.63
Brinjal,1 Kg,2025-08-13,42.66
Black Pepper (whole),100 gm,2025-08-13,87.36
Coriander (whole),250 gm,2025-08-13,37.16
Cummin Seed (whole),100 gm,2025-08-13,41.95
Red Chillies (whole),100 gm,2025-08-13,27.85
Turmeric (powder),50 gm,2025-08-13,16.22
Banana,1 Kg,2025-08-13,49.79
Rice,1 Kg,2025-08-12,42.95
Wheat,1 Kg,2025-08-12,31.59
Atta (Wheat),1 Kg,2025-08-12,36.88
Gram Dal(Bharat Dal Adjusted),1 Kg,2025-08-12,83.21
Gram Dal,1 Kg,2025-08-12,87.31
Tur/Arhar Dal,1 Kg,2025-08-12,118.32
Urad Dal,1 Kg,2025-08-12,114.43
Moong Dal,1 Kg,2025-08-12,110.55
Masoor Dal,1 Kg,2025-08-12,89.26
Sugar,1 Kg,2025-08-12,46.19
Milk (₹/ltr),1 Ltr,2025-08-12,58.98
Groundnut Oil (Packed),1 Kg,2025-08-12,188.41
Mustard Oil (Packed),1 Kg,2025-08-12,186.68
Vanaspati (Packed),1 Kg,2025-08-12,156.93
Soya Oil (Packed),1 Kg,2025-08-12,147.17
Sunflower Oil (Packed),1 Kg,2025-08-12,161.02
Palm Oil (Packed),1 Kg,2025-08-12,130.53
Gur,1 Kg,2025-08-12,56.35
Tea Loose,1 Kg,2025-08-12,273.18
Salt Pack (Iodised),1 Kg,2025-08-12,21.43
Potato,1 Kg,2025-08-12,25.8
Onion,1 Kg,2025-08-12,28.18
Tomato,1 Kg,2025-08-12,53.23
Bajra (whole),1 Kg,2025-08-12,37.91
Jowar (whole),1 Kg,2025-08-12,43.43
Maida (wheat),1 Kg,2025-08-12,41.45
Ragi (whole),1 kg,2025-08-12,53.48
Suji (whole),1 Kg,2025-08-12,46.7
Besan,1 Kg,2025-08-12,96.87
Desi Ghee,1 Kg,2025-08-12,665.03
Butter (Pasteurised),100 gm,2025-08-12,59.15
Eggs ,1 Dozen,2025-08-12,76.73
Brinjal,1 Kg,2025-08-12,42.81
Black Pepper (whole),100 gm,2025-08-12,87.5
Coriander (whole),250 gm,2025-08-12,37.28
Cummin Seed (whole),100 gm,2025-08-12,42.11
Red Chillies (whole),100 gm,2025-08-12,27.81
Turmeric (powder),50 gm,2025-08-12,16.27
Banana,1 Kg,2025-08-12,49.95
Rice,1 Kg,2025-08-11,42.9
Wheat,1 Kg,2025-08-11,31.6
Atta (Wheat),1 Kg,2025-08-11,36.86
Gram Dal(Bharat Dal Adjusted),1 Kg,2025-08-11,83.15
Gram Dal,1 Kg,2025-08-11,87.23
Tur/Arhar Dal,1 Kg,2025-08-11,118.25
Urad Dal,1 Kg,2025-08-11,114.35
Moong Dal,1 Kg,2025-08-11,110.53
Masoor Dal,1 Kg,2025-08-11,88.98
